NOAA ID,Acquisition,Name,Sex,Species,Birth Date,Captivity Date,Owner,Facility,Purpose,Status,Facility Date
NOA0002500,TRANSPORT,KATHY,MALE,Beluga Whale,1-Jan-71,-,Wildlife Conservation Society,New York Aquarium,Public Display,-,22-Jul-75
NOA0002500,TRANSFER,KATHY,MALE,Beluga Whale,1-Jan-71,-,Sea World LLC,Sea World of California,Public Display,-,-
NOA0002500,TRANSPORT,KATHY,MALE,Beluga Whale,1-Jan-71,-,Sea World LLC,Sea World of California,Public Display,DEAD,25-Feb-76
NOA0002501,CAPTURE,-,FEMALE,Killer Whale; Orca,1-Jan-75,1-Jan-78,unreported facility in unspecified foreign country,unreported facility in unspecified foreign country,Public Display,-,1-Jan-78
NOA0002501,TRANSFER,-,FEMALE,Killer Whale; Orca,1-Jan-75,-,Sea World LLC,Sea World of Florida,Public Display,-,-
NOA0002501,TRANSPORT,-,FEMALE,Killer Whale; Orca,1-Jan-75,-,Sea World LLC,Sea World of Florida,Public Display,ALIVE,23-Nov-84
NOA0002502,CAPTURE,-,MALE,Killer Whale; Orca,1-Jan-76,1-Jan-78,unreported facility in unspecified foreign country,unreported facility in unspecified foreign country,Public Display,-,1-Jan-78
NOA0002502,TRANSFER,-,MALE,Killer Whale; Orca,1-Jan-76,-,Sea World LLC,Unknown,Public Display,-,-
NOA0002502,TRANSPORT,-,MALE,Killer Whale; Orca,1-Jan-76,-,Sea World LLC,Unknown,Public Display,DEAD,26-Oct-78
NOA0002503,CAPTURE,-,FEMALE,Killer Whale; Orca,-,1-Jan-78,unreported facility in unspecified foreign country,unreported facility in unspecified foreign country,Public Display,-,1-Jan-78
NOA0002503,TRANSFER,-,FEMALE,Killer Whale; Orca,-,-,Sea World LLC,Unknown,Public Display,-,-
NOA0002503,TRANSPORT,-,FEMALE,Killer Whale; Orca,-,-,Sea World LLC,Unknown,Public Display,DEAD,26-Oct-78
NOA0002504,CAPTURE,-,FEMALE,Killer Whale; Orca,1-Jan-76,1-Jan-78,unreported facility in unspecified foreign country,unreported facility in unspecified foreign country,Public Display,-,1-Jan-78
NOA0002504,TRANSFER,-,FEMALE,Killer Whale; Orca,1-Jan-76,-,Sea World LLC,Unknown,Public Display,-,-
NOA0002504,TRANSPORT,-,FEMALE,Killer Whale; Orca,1-Jan-76,-,Sea World LLC,Unknown,Public Display,DEAD,26-Oct-78
NOA0002505,CAPTURE,-,FEMALE,Killer Whale; Orca,1-Jan-76,1-Jan-78,unreported facility in unspecified foreign country,unreported facility in unspecified foreign country,Public Display,-,1-Jan-78
NOA0002505,TRANSFER,-,FEMALE,Killer Whale; Orca,1-Jan-76,-,Sea World LLC,Sea World of California,Public Display,-,-
NOA0002505,TRANSPORT,-,FEMALE,Killer Whale; Orca,1-Jan-76,-,Sea World LLC,Sea World of California,Public Display,DEAD,13-Feb-90
NOA0002506,CAPTURE,-,FEMALE,Killer Whale; Orca,1-Jan-74,1-Jan-76,unreported facility in unspecified foreign country,unreported facility in unspecified foreign country,Public Display,-,1-Jan-76
NOA0002506,TRANSFER,-,FEMALE,Killer Whale; Orca,1-Jan-74,-,Sea World LLC,Unknown,Public Display,-,-
NOA0002506,TRANSPORT,-,FEMALE,Killer Whale; Orca,1-Jan-74,-,Sea World LLC,Unknown,Public Display,DEAD,9-Jun-77
NOA0002507,CAPTURE,-,FEMALE,Killer Whale; Orca,1-Jan-75,1-Jan-77,unreported facility in unspecified foreign country,unreported facility in unspecified foreign country,Public Display,-,1-Jan-77
NOA0002507,TRANSFER,-,FEMALE,Killer Whale; Orca,1-Jan-75,-,Sea World LLC,Unknown,Public Display,-,-
NOA0002507,TRANSPORT,-,FEMALE,Killer Whale; Orca,1-Jan-75,-,Sea World LLC,Unknown,Public Display,DEAD,12-Dec-77
NOA0002508,CAPTURE,-,MALE,Killer Whale; Orca,-,1-Jan-77,unreported facility in unspecified foreign country,unreported facility in unspecified foreign country,Public Display,-,1-Jan-77
NOA0002508,TRANSFER,-,MALE,Killer Whale; Orca,-,-,Sea World LLC,Unknown,Public Display,-,-
NOA0002508,TRANSPORT,-,MALE,Killer Whale; Orca,-,-,Sea World LLC,Unknown,Public Display,DEAD,12-Dec-77
NOA0002509,CAPTURE,-,FEMALE,Killer Whale; Orca,1-Jan-74,1-Jan-77,unreported facility in unspecified foreign country,unreported facility in unspecified foreign country,Public Display,-,1-Jan-77
NOA0002509,TRANSFER,-,FEMALE,Killer Whale; Orca,1-Jan-74,-,Sea World LLC,Unknown,Public Display,-,-
NOA0002509,TRANSPORT,-,FEMALE,Killer Whale; Orca,1-Jan-74,-,Sea World LLC,Unknown,Public Display,DEAD,12-Dec-77
NOA0002510,CAPTURE,-,MALE,Killer Whale; Orca,-,25-Feb-67,Sea World LLC,Sea World of Florida,Public Display,DEAD,21-Mar-75
NOA0002511,CAPTURE,-,MALE,Killer Whale; Orca,1-Jan-63,1-Jun-70,"Trident Television, Ltd.","Windsor Safari Park, Ltd.",Public Display,-,1-Jun-70
NOA0002511,TRANSFER,-,MALE,Killer Whale; Orca,1-Jan-63,-,Sea World LLC,Unknown,Public Display,-,-
NOA0002511,TRANSPORT,-,MALE,Killer Whale; Orca,1-Jan-63,-,Sea World LLC,Unknown,Public Display,DEAD,17-Oct-76
NOA0002512,CAPTURE,-,FEMALE,Killer Whale; Orca,-,27-Aug-71,Sea World LLC,Sea World of Florida,Public Display,DEAD,9-Dec-73
NOA0002513,CAPTURE,-,MALE,Killer Whale; Orca,-,12-Mar-72,Sea World LLC,Sea World of Florida,Public Display,DEAD,18-Nov-73
NOA0002514,STRANDED,-,MALE,Killer Whale; Orca,-,13-Mar-73,Sea World LLC,Sea World of Florida,Public Display,DEAD,2-Oct-77
NOA0002515,CAPTURE,-,MALE,Killer Whale; Orca,-,Unknown,Sea World LLC,Sea World of California,Public Display,DEAD,11-Mar-67
NOA0002516,CAPTURE,-,FEMALE,Killer Whale; Orca,-,31-Oct-65,Sea World LLC,Sea World of California,Public Display,DEAD,25-Dec-65
NOA0002517,CAPTURE,-,FEMALE,Killer Whale; Orca,-,15-Feb-67,Sea World LLC,Sea World of California,Public Display,DEAD,16-Dec-69
NOA0002518,CAPTURE,-,FEMALE,Killer Whale; Orca,-,26-Aug-71,Sea World LLC,Sea World of California,Public Display,DEAD,10-Sep-71
NOA0002519,CAPTURE,-,MALE,Killer Whale; Orca,-,1-Jul-73,unreported facility in Canada,unreported facility in Canada,Public Display,-,1-Jul-73
NOA0002519,TRANSFER,-,MALE,Killer Whale; Orca,-,-,Sea World LLC,Unknown,Public Display,-,-
NOA0002519,TRANSPORT,-,MALE,Killer Whale; Orca,-,-,Sea World LLC,Unknown,Public Display,DEAD,25-Oct-73
NOA0002817,BIRTH,-,FEMALE,Killer Whale; Orca,26-Sep-85,26-Sep-85,Sea World LLC,Sea World of Florida,Public Display,DEAD,29-Oct-94
NOA0002826,CAPTURE,-,FEMALE,Killer Whale; Orca,1-Jan-62,1-Mar-70,Marineland of Canada,Marineland of Canada,Public Display,-,Unknown
NOA0002826,TRANSFER,-,FEMALE,Killer Whale; Orca,1-Jan-62,-,Sea World LLC,Unknown,Public Display,-,-
NOA0002826,TRANSPORT,-,FEMALE,Killer Whale; Orca,1-Jan-62,-,Sea World LLC,Unknown,Public Display,DEAD,27-Apr-86
NOA0002835,CAPTURE,-,MALE,Killer Whale; Orca,1-Jan-65,16-Aug-75,Marineland of Canada,Marineland of Canada,Public Display,-,1-Oct-75
NOA0002835,TRANSFER,-,MALE,Killer Whale; Orca,1-Jan-65,-,Sea World LLC,Unknown,Public Display,-,-
NOA0002835,TRANSPORT,-,MALE,Killer Whale; Orca,1-Jan-65,-,Sea World LLC,Unknown,Public Display,DEAD,9-Jan-87
NOA0002846,CAPTURE,-,MALE,Killer Whale; Orca,1-Jan-58,10-May-68,"Twentieth Century-Fox Marineland, Inc.","Twentieth Century-Fox Marineland, Inc.",Public Display,-,10-May-68
NOA0002846,TRANSFER,-,MALE,Killer Whale; Orca,1-Jan-58,-,Hanna-Barbera's Marineland (Marineland of the Pacific),Hanna-Barbera's Marineland (Marineland of the Pacific),Public Display,-,-
NOA0002846,TRANSPORT,-,MALE,Killer Whale; Orca,1-Jan-58,-,Hanna-Barbera's Marineland (Marineland of the Pacific),Hanna-Barbera's Marineland (Marineland of the Pacific),Public Display,-,7-Nov-77
NOA0002846,TRANSFER,-,MALE,Killer Whale; Orca,1-Jan-58,-,Marineland Amusements Corporation,Marineland Amusements Corporation,Public Display,-,-
NOA0002846,TRANSPORT,-,MALE,Killer Whale; Orca,1-Jan-58,-,Marineland Amusements Corporation,Marineland Amusements Corporation,Public Display,-,11-Jan-82
NOA0002846,TRANSFER,-,MALE,Killer Whale; Orca,1-Jan-58,-,Sea World LLC,Sea World of California,Public Display,-,-
NOA0002846,TRANSPORT,-,MALE,Killer Whale; Orca,1-Jan-58,-,Sea World LLC,Sea World of California,Public Display,DEAD,21-Jan-87
NOA0002847,CAPTURE,-,FEMALE,Killer Whale; Orca,-,Unknown,"Twentieth Century-Fox Marineland, Inc.","Twentieth Century-Fox Marineland, Inc.",Public Display,-,27-Dec-69
NOA0002847,TRANSFER,-,FEMALE,Killer Whale; Orca,-,-,Hanna-Barbera's Marineland (Marineland of the Pacific),Hanna-Barbera's Marineland (Marineland of the Pacific),Public Display,-,-
NOA0002847,TRANSPORT,-,FEMALE,Killer Whale; Orca,-,-,Hanna-Barbera's Marineland (Marineland of the Pacific),Hanna-Barbera's Marineland (Marineland of the Pacific),Public Display,-,7-Nov-77
NOA0002847,TRANSFER,-,FEMALE,Killer Whale; Orca,-,-,Marineland Amusements Corporation,Marineland Amusements Corporation,Public Display,-,-
NOA0002847,TRANSPORT,-,FEMALE,Killer Whale; Orca,-,-,Marineland Amusements Corporation,Marineland Amusements Corporation,Public Display,-,11-Jan-82
NOA0002847,TRANSFER,-,FEMALE,Killer Whale; Orca,-,-,Sea World LLC,Sea World of California,Public Display,-,-
NOA0002847,TRANSPORT,-,FEMALE,Killer Whale; Orca,-,-,Sea World LLC,Sea World of California,Public Display,ALIVE,21-Jan-87
NOA0002916,CAPTURE,-,MALE,Beluga Whale,-,18-Jul-87,unreported facility in unspecified foreign country,Sea World of California,Public Display,-,22-Jul-87
NOA0002916,TRANSFER,-,MALE,Beluga Whale,-,-,Sea World LLC,Sea World of Texas,Public Display,-,-
NOA0002916,TRANSPORT,-,MALE,Beluga Whale,-,-,Sea World LLC,Sea World of Texas,Public Display,DEAD,12-Nov-91
NOA0002917,CAPTURE,-,FEMALE,Beluga Whale,-,19-Jul-87,unreported facility in unspecified foreign country,Sea World of California,Public Display,-,22-Jul-87
NOA0002917,TRANSFER,-,FEMALE,Beluga Whale,-,-,Sea World LLC,Sea World of Texas,Public Display,-,-
NOA0002917,TRANSPORT,-,FEMALE,Beluga Whale,-,-,Sea World LLC,Sea World of Texas,Public Display,DEAD,15-Feb-88
NOA0002918,CAPTURE,-,FEMALE,Beluga Whale,-,19-Jul-87,unreported facility in unspecified foreign country,Sea World of California,Public Display,-,22-Jul-87
NOA0002918,TRANSFER,-,FEMALE,Beluga Whale,-,-,Sea World LLC,Sea World of Florida,Public Display,-,-
