NOAA.ID,Order,Acquisition,Name,Sex,Species,Birth.Date,Captivity.Date,Owner,Facility.Date,Facility,Purpose,Status
NOA0001462,2,TRANSFER,-,FEMALE,Killer Whale; Orca,1-Jan-65,-,Marine World Joint Powers Authority,-,Marine World Africa USA,Public Display,DEAD
NOA0001484,1,CAPTURE,-,FEMALE,Killer Whale; Orca,1-Jan-77,19-Nov-80,unreported facility in unspecified foreign country,Unknown,unreported facility in unspecified foreign country,Public Display,-
NOA0001484,2,TRANSFER,VIGGA,FEMALE,Killer Whale; Orca,1-Jan-77,-,Marine World Africa USA,-,Marine World Africa USA,Public Display,-
NOA0001484,3,TRANSPORT,-,FEMALE,Killer Whale; Orca,1-Jan-77,-,Marine World Africa USA,15-Mar-81,Marine World Africa USA,Public Display,-
NOA0001484,4,TRANSFER,-,FEMALE,Killer Whale; Orca,1-Jan-77,-,Marine World Joint Powers Authority,-,Marine World Africa USA,Public Display,-
NOA0001484,5,TRANSPORT,-,FEMALE,Killer Whale; Orca,1-Jan-77,-,Marine World Joint Powers Authority,1-Mar-98,Marine World,Public Display,-
NOA0001484,6,TRANSPORT,-,FEMALE,Killer Whale; Orca,1-Jan-77,-,Marine World Joint Powers Authority,1-Dec-98,Six Flags Marine World,Public Display,DEAD
NOA0002126,1,CAPTURE,-,FEMALE,Beluga Whale,1-Jan-82,29-Jul-85,unreported facility in unspecified foreign country,Unknown,unreported facility in unspecified foreign country,Public Display,-
NOA0002126,2,TRANSFER,ANORE,FEMALE,Beluga Whale,1-Jan-82,-,National Aquarium in Baltimore,-,National Aquarium in Baltimore,Public Display,-
NOA0002126,3,TRANSPORT,-,FEMALE,Beluga Whale,1-Jan-82,-,National Aquarium in Baltimore,29-Jul-85,National Aquarium in Baltimore,Public Display,DEAD
NOA0002127,1,CAPTURE,-,FEMALE,Beluga Whale,1-Jan-82,29-Jul-85,unreported facility in unspecified foreign country,Unknown,unreported facility in unspecified foreign country,Public Display,-
NOA0002127,2,TRANSFER,ILLAMAR,FEMALE,Beluga Whale,1-Jan-82,-,National Aquarium in Baltimore,-,National Aquarium in Baltimore,Public Display,-
NOA0002127,3,TRANSPORT,-,FEMALE,Beluga Whale,1-Jan-82,-,National Aquarium in Baltimore,29-Jul-85,National Aquarium in Baltimore,Public Display,DEAD
NOA0002277,1,UNKNOWN,-,MALE,Beluga Whale,1-Jan-81,Unknown,unreported facility in unspecified foreign country,Unknown,unreported facility in unspecified foreign country,Public Display,-
NOA0002277,2,TRANSFER,INUK,MALE,Beluga Whale,1-Jan-81,-,Point Defiance Zoo and Aquarium,-,Point Defiance Zoo and Aquarium,Public Display,-
NOA0002277,3,TRANSPORT,-,MALE,Beluga Whale,1-Jan-81,-,Point Defiance Zoo and Aquarium,10-Jul-84,Point Defiance Zoo and Aquarium,Public Display,-
NOA0002277,4,TRANSPORT,-,MALE,Beluga Whale,1-Jan-81,-,Point Defiance Zoo and Aquarium,16-Mar-97,Shedd (John G.) Aquarium,Public Display,-
NOA0002277,5,TRANSPORT,INUK,MALE,Beluga Whale,1-Jan-81,-,Point Defiance Zoo and Aquarium,13-Dec-99,Mystic Aquarium,Public Display,DEAD
NOA0002278,1,UNKNOWN,-,FEMALE,Beluga Whale,1-Jan-81,Unknown,unreported facility in unspecified foreign country,Unknown,unreported facility in unspecified foreign country,Public Display,-
NOA0002278,2,TRANSFER,MAUYAK,FEMALE,Beluga Whale,1-Jan-81,-,Point Defiance Zoo and Aquarium,-,Point Defiance Zoo and Aquarium,Public Display,-
NOA0002278,3,TRANSPORT,-,FEMALE,Beluga Whale,1-Jan-81,-,Point Defiance Zoo and Aquarium,9-Jul-84,Point Defiance Zoo and Aquarium,Public Display,-
NOA0002278,4,TRANSPORT,-,FEMALE,Beluga Whale,1-Jan-81,-,Point Defiance Zoo and Aquarium,16-Mar-97,Shedd (John G.) Aquarium,Public Display,-
NOA0002278,5,TRANSPORT,-,FEMALE,Beluga Whale,1-Jan-81,-,Point Defiance Zoo and Aquarium,4-Sep-08,Mystic Aquarium,Public Display,-
NOA0002278,6,TRANSPORT,MAUYAK,FEMALE,Beluga Whale,1-Jan-81,-,Point Defiance Zoo and Aquarium,2-May-09,Shedd (John G.) Aquarium,Public Display,ALIVE
NOA0002279,1,CAPTURE,-,FEMALE,Beluga Whale,1-Jan-81,9-Jul-84,unreported facility in Canada,9-Jul-84,unreported facility in Canada,Public Display,-
NOA0002279,2,TRANSFER,-,FEMALE,Beluga Whale,1-Jan-81,-,Point Defiance Zoo and Aquarium,-,Point Defiance Zoo and Aquarium,Public Display,-
NOA0002279,3,TRANSPORT,-,FEMALE,Beluga Whale,1-Jan-81,-,Point Defiance Zoo and Aquarium,9-Jul-84,Point Defiance Zoo and Aquarium,Public Display,-
NOA0002279,4,TRANSPORT,-,FEMALE,Beluga Whale,1-Jan-81,-,Point Defiance Zoo and Aquarium,22-Nov-98,Sea World of California,Public Display,DEAD
NOA0002290,1,BIRTH,-,MALE,Beluga Whale,2-Aug-92,2-Aug-92,Point Defiance Zoo and Aquarium,2-Aug-92,Point Defiance Zoo and Aquarium,Public Display,DEAD
NOA0002292,1,BIRTH,-,FEMALE,Beluga Whale,15-Jul-94,15-Jul-94,Point Defiance Zoo and Aquarium,15-Jul-94,Point Defiance Zoo and Aquarium,Public Display,DEAD
NOA0002491,1,CAPTURE,-,MALE,Beluga Whale,-,16-Jul-79,unreported facility in Canada,16-Jul-79,unreported facility in Canada,Public Display,-
NOA0002491,2,TRANSFER,-,MALE,Beluga Whale,-,-,Sea World LLC,-,Unknown,Public Display,-
NOA0002491,3,TRANSPORT,-,MALE,Beluga Whale,-,-,Sea World LLC,24-Jul-79,Unknown,Public Display,DEAD
NOA0002492,1,CAPTURE,-,MALE,Beluga Whale,-,16-Jul-79,unreported facility in Canada,16-Jul-79,unreported facility in Canada,Public Display,-
NOA0002492,2,TRANSFER,-,MALE,Beluga Whale,-,-,Sea World LLC,-,Sea World of Texas,Public Display,-
NOA0002492,3,TRANSPORT,-,MALE,Beluga Whale,-,-,Sea World LLC,12-Nov-91,Sea World of Texas,Public Display,DEAD
NOA0002493,1,CAPTURE,-,FEMALE,Beluga Whale,-,16-Jul-79,unreported facility in Canada,16-Jul-79,unreported facility in Canada,Public Display,-
NOA0002493,2,TRANSFER,-,FEMALE,Beluga Whale,-,-,Sea World LLC,-,Unknown,Public Display,-
NOA0002493,3,TRANSPORT,-,FEMALE,Beluga Whale,-,-,Sea World LLC,4-Oct-86,Unknown,Public Display,DEAD
NOA0002494,1,CAPTURE,-,FEMALE,Beluga Whale,-,16-Jul-79,unreported facility in Canada,16-Jul-79,unreported facility in Canada,Public Display,-
NOA0002494,2,TRANSFER,-,FEMALE,Beluga Whale,-,-,Sea World LLC,-,Sea World of Florida,Public Display,-
NOA0002494,3,TRANSPORT,-,FEMALE,Beluga Whale,-,-,Sea World LLC,5-May-95,Sea World of Florida,Public Display,DEAD
NOA0002495,1,CAPTURE,-,FEMALE,Beluga Whale,-,22-Jul-79,unreported facility in Canada,22-Jul-79,unreported facility in Canada,Public Display,-
NOA0002495,2,TRANSFER,-,FEMALE,Beluga Whale,-,-,Sea World LLC,-,Unknown,Public Display,-
NOA0002495,3,TRANSPORT,-,FEMALE,Beluga Whale,-,-,Sea World LLC,17-Sep-83,Unknown,Public Display,DEAD
NOA0002496,1,CAPTURE,-,FEMALE,Beluga Whale,-,22-Jul-79,unreported facility in Canada,22-Jul-79,unreported facility in Canada,Public Display,-
NOA0002496,2,TRANSFER,-,FEMALE,Beluga Whale,-,-,Sea World LLC,-,Unknown,Public Display,-
NOA0002496,3,TRANSPORT,-,FEMALE,Beluga Whale,-,-,Sea World LLC,24-Jul-79,Unknown,Public Display,DEAD
NOA0002497,1,CAPTURE,-,FEMALE,Beluga Whale,-,15-Jul-73,unreported facility in unspecified foreign country,15-Jul-73,Seattle Aquarium,Public Display,-
NOA0002497,2,TRANSFER,-,FEMALE,Beluga Whale,-,-,Sea World LLC,-,Unknown,Public Display,-
NOA0002497,3,TRANSPORT,-,FEMALE,Beluga Whale,-,-,Sea World LLC,25-Oct-73,Unknown,Public Display,DEAD
NOA0002498,1,CAPTURE,-,FEMALE,Beluga Whale,-,22-Jul-73,unreported facility in unspecified foreign country,22-Jul-73,unreported facility in unspecified foreign country,Public Display,-
NOA0002498,2,TRANSFER,-,FEMALE,Beluga Whale,-,-,Sea World LLC,-,Unknown,Public Display,-
NOA0002498,3,TRANSPORT,-,FEMALE,Beluga Whale,-,-,Sea World LLC,25-Oct-73,Unknown,Public Display,DEAD
NOA0002499,1,CAPTURE,-,FEMALE,Beluga Whale,-,15-Jul-73,unreported facility in unspecified foreign country,15-Jul-73,unreported facility in unspecified foreign country,Public Display,-
NOA0002499,2,TRANSFER,-,FEMALE,Beluga Whale,-,-,Sea World LLC,-,Unknown,Public Display,-
NOA0002499,3,TRANSPORT,-,FEMALE,Beluga Whale,-,-,Sea World LLC,25-Oct-73,Unknown,Public Display,DEAD
NOA0002500,1,UNKNOWN,-,MALE,Beluga Whale,1-Jan-71,22-Jul-75,unreported facility in unspecified foreign country,22-Jul-75,unreported facility in unspecified foreign country,Public Display,-
NOA0002500,2,TRANSFER,KATHY,MALE,Beluga Whale,1-Jan-71,-,Wildlife Conservation Society,-,New York Aquarium,Public Display,-
NOA0002500,3,TRANSPORT,-,MALE,Beluga Whale,1-Jan-71,-,Wildlife Conservation Society,22-Jul-75,New York Aquarium,Public Display,-
NOA0002500,4,TRANSFER,-,MALE,Beluga Whale,1-Jan-71,-,Sea World LLC,-,Sea World of California,Public Display,-
NOA0002500,5,TRANSPORT,-,MALE,Beluga Whale,1-Jan-71,-,Sea World LLC,25-Feb-76,Sea World of California,Public Display,DEAD
NOA0002501,1,CAPTURE,-,FEMALE,Killer Whale; Orca,1-Jan-75,1-Jan-78,unreported facility in unspecified foreign country,1-Jan-78,unreported facility in unspecified foreign country,Public Display,-
NOA0002501,2,TRANSFER,-,FEMALE,Killer Whale; Orca,1-Jan-75,-,Sea World LLC,-,Sea World of Florida,Public Display,-
NOA0002501,3,TRANSPORT,-,FEMALE,Killer Whale; Orca,1-Jan-75,-,Sea World LLC,23-Nov-84,Sea World of Florida,Public Display,ALIVE
NOA0002502,1,CAPTURE,-,MALE,Killer Whale; Orca,1-Jan-76,1-Jan-78,unreported facility in unspecified foreign country,1-Jan-78,unreported facility in unspecified foreign country,Public Display,-
NOA0002502,2,TRANSFER,-,MALE,Killer Whale; Orca,1-Jan-76,-,Sea World LLC,-,Unknown,Public Display,-
NOA0002502,3,TRANSPORT,-,MALE,Killer Whale; Orca,1-Jan-76,-,Sea World LLC,26-Oct-78,Unknown,Public Display,DEAD
NOA0002503,1,CAPTURE,-,FEMALE,Killer Whale; Orca,-,1-Jan-78,unreported facility in unspecified foreign country,1-Jan-78,unreported facility in unspecified foreign country,Public Display,-
NOA0002503,2,TRANSFER,-,FEMALE,Killer Whale; Orca,-,-,Sea World LLC,-,Unknown,Public Display,-
NOA0002503,3,TRANSPORT,-,FEMALE,Killer Whale; Orca,-,-,Sea World LLC,26-Oct-78,Unknown,Public Display,DEAD
NOA0002504,1,CAPTURE,-,FEMALE,Killer Whale; Orca,1-Jan-76,1-Jan-78,unreported facility in unspecified foreign country,1-Jan-78,unreported facility in unspecified foreign country,Public Display,-
NOA0002504,2,TRANSFER,-,FEMALE,Killer Whale; Orca,1-Jan-76,-,Sea World LLC,-,Unknown,Public Display,-
NOA0002504,3,TRANSPORT,-,FEMALE,Killer Whale; Orca,1-Jan-76,-,Sea World LLC,26-Oct-78,Unknown,Public Display,DEAD
NOA0002505,1,CAPTURE,-,FEMALE,Killer Whale; Orca,1-Jan-76,1-Jan-78,unreported facility in unspecified foreign country,1-Jan-78,unreported facility in unspecified foreign country,Public Display,-
NOA0002505,2,TRANSFER,-,FEMALE,Killer Whale; Orca,1-Jan-76,-,Sea World LLC,-,Sea World of California,Public Display,-
NOA0002505,3,TRANSPORT,-,FEMALE,Killer Whale; Orca,1-Jan-76,-,Sea World LLC,13-Feb-90,Sea World of California,Public Display,DEAD
NOA0002506,1,CAPTURE,-,FEMALE,Killer Whale; Orca,1-Jan-74,1-Jan-76,unreported facility in unspecified foreign country,1-Jan-76,unreported facility in unspecified foreign country,Public Display,-
NOA0002506,2,TRANSFER,-,FEMALE,Killer Whale; Orca,1-Jan-74,-,Sea World LLC,-,Unknown,Public Display,-
NOA0002506,3,TRANSPORT,-,FEMALE,Killer Whale; Orca,1-Jan-74,-,Sea World LLC,9-Jun-77,Unknown,Public Display,DEAD
NOA0002507,1,CAPTURE,-,FEMALE,Killer Whale; Orca,1-Jan-75,1-Jan-77,unreported facility in unspecified foreign country,1-Jan-77,unreported facility in unspecified foreign country,Public Display,-
NOA0002507,2,TRANSFER,-,FEMALE,Killer Whale; Orca,1-Jan-75,-,Sea World LLC,-,Unknown,Public Display,-
NOA0002507,3,TRANSPORT,-,FEMALE,Killer Whale; Orca,1-Jan-75,-,Sea World LLC,12-Dec-77,Unknown,Public Display,DEAD
NOA0002508,1,CAPTURE,-,MALE,Killer Whale; Orca,-,1-Jan-77,unreported facility in unspecified foreign country,1-Jan-77,unreported facility in unspecified foreign country,Public Display,-
NOA0002508,2,TRANSFER,-,MALE,Killer Whale; Orca,-,-,Sea World LLC,-,Unknown,Public Display,-
NOA0002508,3,TRANSPORT,-,MALE,Killer Whale; Orca,-,-,Sea World LLC,12-Dec-77,Unknown,Public Display,DEAD
NOA0002509,1,CAPTURE,-,FEMALE,Killer Whale; Orca,1-Jan-74,1-Jan-77,unreported facility in unspecified foreign country,1-Jan-77,unreported facility in unspecified foreign country,Public Display,-
NOA0002509,2,TRANSFER,-,FEMALE,Killer Whale; Orca,1-Jan-74,-,Sea World LLC,-,Unknown,Public Display,-
NOA0002509,3,TRANSPORT,-,FEMALE,Killer Whale; Orca,1-Jan-74,-,Sea World LLC,12-Dec-77,Unknown,Public Display,DEAD
NOA0002510,1,CAPTURE,-,MALE,Killer Whale; Orca,-,25-Feb-67,Sea World LLC,21-Mar-75,Sea World of Florida,Public Display,DEAD
NOA0002511,1,CAPTURE,-,MALE,Killer Whale; Orca,1-Jan-63,1-Jun-70,"Trident Television, Ltd.",1-Jun-70,"Windsor Safari Park, Ltd.",Public Display,-
NOA0002511,2,TRANSFER,-,MALE,Killer Whale; Orca,1-Jan-63,-,Sea World LLC,-,Unknown,Public Display,-
NOA0002511,3,TRANSPORT,-,MALE,Killer Whale; Orca,1-Jan-63,-,Sea World LLC,17-Oct-76,Unknown,Public Display,DEAD
NOA0002512,1,CAPTURE,-,FEMALE,Killer Whale; Orca,-,27-Aug-71,Sea World LLC,9-Dec-73,Sea World of Florida,Public Display,DEAD
NOA0002513,1,CAPTURE,-,MALE,Killer Whale; Orca,-,12-Mar-72,Sea World LLC,18-Nov-73,Sea World of Florida,Public Display,DEAD
NOA0002514,1,STRANDED,-,MALE,Killer Whale; Orca,-,13-Mar-73,Sea World LLC,2-Oct-77,Sea World of Florida,Public Display,DEAD
NOA0002515,1,CAPTURE,-,MALE,Killer Whale; Orca,-,Unknown,Sea World LLC,11-Mar-67,Sea World of California,Public Display,DEAD
NOA0002516,1,CAPTURE,-,FEMALE,Killer Whale; Orca,-,31-Oct-65,Sea World LLC,25-Dec-65,Sea World of California,Public Display,DEAD
NOA0002517,1,CAPTURE,-,FEMALE,Killer Whale; Orca,-,15-Feb-67,Sea World LLC,16-Dec-69,Sea World of California,Public Display,DEAD
NOA0002518,1,CAPTURE,-,FEMALE,Killer Whale; Orca,-,26-Aug-71,Sea World LLC,10-Sep-71,Sea World of California,Public Display,DEAD
NOA0002519,1,CAPTURE,-,MALE,Killer Whale; Orca,-,1-Jul-73,unreported facility in Canada,1-Jul-73,unreported facility in Canada,Public Display,-
NOA0002519,2,TRANSFER,-,MALE,Killer Whale; Orca,-,-,Sea World LLC,-,Unknown,Public Display,-
NOA0002519,3,TRANSPORT,-,MALE,Killer Whale; Orca,-,-,Sea World LLC,25-Oct-73,Unknown,Public Display,DEAD
NOA0002817,1,BIRTH,-,FEMALE,Killer Whale; Orca,26-Sep-85,26-Sep-85,Sea World LLC,29-Oct-94,Sea World of Florida,Public Display,DEAD
NOA0002826,1,CAPTURE,-,FEMALE,Killer Whale; Orca,1-Jan-62,1-Mar-70,Marineland of Canada,Unknown,Marineland of Canada,Public Display,-
NOA0002826,2,TRANSFER,-,FEMALE,Killer Whale; Orca,1-Jan-62,-,Sea World LLC,-,Unknown,Public Display,-
NOA0002826,3,TRANSPORT,-,FEMALE,Killer Whale; Orca,1-Jan-62,-,Sea World LLC,27-Apr-86,Unknown,Public Display,DEAD
NOA0002835,1,CAPTURE,-,MALE,Killer Whale; Orca,1-Jan-65,16-Aug-75,Marineland of Canada,1-Oct-75,Marineland of Canada,Public Display,-
NOA0002835,2,TRANSFER,-,MALE,Killer Whale; Orca,1-Jan-65,-,Sea World LLC,-,Unknown,Public Display,-
NOA0002835,3,TRANSPORT,-,MALE,Killer Whale; Orca,1-Jan-65,-,Sea World LLC,9-Jan-87,Unknown,Public Display,DEAD
NOA0002846,1,CAPTURE,-,MALE,Killer Whale; Orca,1-Jan-58,10-May-68,"Twentieth Century-Fox Marineland, Inc.",10-May-68,"Twentieth Century-Fox Marineland, Inc.",Public Display,-
NOA0002846,2,TRANSFER,-,MALE,Killer Whale; Orca,1-Jan-58,-,Hanna-Barbera's Marineland (Marineland of the Pacific),-,Hanna-Barbera's Marineland (Marineland of the Pacific),Public Display,-
