NOAA.ID,Order,Acquisition,Name,Sex,Species,Birth.Date,Captivity.Date,Owner,Facility.Date,Facility,Purpose,Status
NOA0002918,1,CAPTURE,-,FEMALE,Beluga Whale,-,19-Jul-87,unreported facility in unspecified foreign country,22-Jul-87,Sea World of California,Public Display,-
NOA0002918,2,TRANSFER,-,FEMALE,Beluga Whale,-,-,Sea World LLC,-,Sea World of Florida,Public Display,-
NOA0002918,3,TRANSPORT,-,FEMALE,Beluga Whale,-,-,Sea World LLC,5-May-95,Sea World of Florida,Public Display,DEAD
NOA0002919,1,CAPTURE,-,MALE,Beluga Whale,-,20-Jul-87,unreported facility in unspecified foreign country,22-Jul-87,Sea World of California,Public Display,-
NOA0002919,2,TRANSFER,-,MALE,Beluga Whale,-,-,Sea World LLC,-,Sea World of Florida,Public Display,-
NOA0002919,3,TRANSPORT,-,MALE,Beluga Whale,-,-,Sea World LLC,5-May-95,Sea World of Florida,Public Display,-
NOA0002919,4,TRANSPORT,-,MALE,Beluga Whale,-,-,Sea World LLC,18-Oct-98,Sea World of Texas,Public Display,DEAD
NOA0002920,1,CAPTURE,-,FEMALE,Killer Whale; Orca,-,13-Nov-76,Zeedierenpark Harderwijk B V,Unknown,Zeedierenpark Harderwijk B V,Public Display,-
NOA0002920,2,TRANSFER,-,FEMALE,Killer Whale; Orca,-,-,Sea World LLC,-,Sea World of Florida,Public Display,-
NOA0002920,3,TRANSPORT,-,FEMALE,Killer Whale; Orca,-,-,Sea World LLC,17-Nov-87,Sea World of Florida,Public Display,DEAD
NOA0002947,1,CAPTURE,-,FEMALE,Beluga Whale,-,16-Jul-88,unreported facility in unspecified foreign country,21-Jul-88,Sea World of Texas,Public Display,-
NOA0002947,2,TRANSFER,-,FEMALE,Beluga Whale,-,-,Sea World LLC,-,Sea World of Florida,Public Display,-
NOA0002947,3,TRANSPORT,-,FEMALE,Beluga Whale,-,-,Sea World LLC,5-May-95,Sea World of Florida,Public Display,-
NOA0002947,4,TRANSPORT,-,FEMALE,Beluga Whale,-,-,Sea World LLC,18-Oct-98,Sea World of Texas,Public Display,ALIVE
NOA0002948,1,CAPTURE,-,FEMALE,Beluga Whale,-,17-Jul-88,unreported facility in unspecified foreign country,17-Jul-88,unreported facility in unspecified foreign country,Public Display,-
NOA0002948,2,TRANSFER,-,FEMALE,Beluga Whale,-,-,Sea World LLC,-,Sea World of Texas,Public Display,-
